iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.3310975609756097,0.09084986405564519,0.3433355394987924,0.3310975609756097,-0.547,-0.119,41
1,0,x,0.0695609756097561,0.2677379542306872,0.2766267186361697,0.2238048780487805,-0.581,0.541,41
1,0,y,0.10760975609756097,0.4319550494934251,0.44515730297305456,0.37204878048780493,-0.787,0.955,41
1,0,z,-0.0981707317073171,0.498669640017391,0.508240988546796,0.4142682926829269,-1.026,1.157,41
2,0,origin_time,0.053317073170731706,0.021115754174561224,0.0573461887648487,0.053317073170731706,0.025,0.119,41
2,0,x,0.22004878048780488,0.13500098485991477,0.2581602829780698,0.22121951219512195,-0.022,0.542,41
2,0,y,-0.20778048780487804,0.1260985894188376,0.24305058190807455,0.21353658536585368,-0.427,0.118,41
2,0,z,0.07095121951219513,0.1338730653285567,0.15151261719979528,0.11729268292682928,-0.289,0.451,41
3,0,origin_time,0.00017073170731707335,0.004077914573588129,0.004081487055641099,0.0029512195121951224,-0.009,0.01,41
3,0,x,0.009634146341463415,0.010864478027399774,0.014520800891706537,0.012365853658536586,-0.017,0.042,41
3,0,y,-0.01895121951219512,0.022070785479532024,0.029090690825123538,0.023780487804878053,-0.062,0.055,41
3,0,z,-0.00821951219512195,0.07192933937675697,0.07239744639075635,0.048756097560975604,-0.187,0.146,41
4,0,origin_time,0.008414634146341464,0.006655185433842849,0.010728353134363624,0.008658536585365854,-0.003,0.026,41
4,0,x,0.1447317073170732,0.03558776467616425,0.14904279954952865,0.1447317073170732,0.079,0.245,41
4,0,y,-0.17692682926829267,0.02986505441669769,0.1794297199190923,0.17692682926829267,-0.23,-0.09,41
4,0,z,0.024365853658536586,0.07535242598828552,0.07919395764090383,0.06587804878048781,-0.103,0.249,41
5,0,origin_time,-2.4390243902439005e-05,0.0019441946715492327,0.0019443476553533446,0.0014390243902439026,-0.005,0.006,41
5,0,x,0.004926829268292683,0.006982173272341285,0.00854543095717837,0.0076585365853658535,-0.014,0.022,41
5,0,y,-0.017268292682926827,0.008160058555038301,0.019099227413821692,0.017317073170731705,-0.041,0.001,41
5,0,z,0.002121951219512193,0.03487972023966964,0.03494420640071269,0.023097560975609756,-0.108,0.141,41
6,0,origin_time,0.0019024390243902439,0.004101188870159603,0.004520953924808779,0.0029756097560975615,-0.004,0.017,41
6,0,x,0.10470731707317071,0.022453468309892952,0.1070877233290767,0.10470731707317071,0.063,0.137,41
6,0,y,-0.14387804878048782,0.016835205739470584,0.14485964611709753,0.14387804878048782,-0.174,-0.073,41
6,0,z,-0.0077560975609756114,0.06642537734557988,0.06687666113733585,0.052878048780487796,-0.122,0.187,41
7,0,origin_time,0.0002926829268292683,0.0012924528097065142,0.0013251783128981585,0.000878048780487805,-0.003,0.004,41
7,0,x,0.002390243902439025,0.007197147296589412,0.007583679523948201,0.006048780487804878,-0.027,0.01,41
7,0,y,-0.013439024390243904,0.0068824583685284345,0.01509886120725989,0.013439024390243904,-0.034,-0.003,41
7,0,z,-0.002634146341463415,0.020111586391881084,0.020283358551934673,0.015024390243902438,-0.056,0.063,41
8,0,origin_time,0.0013658536585365855,0.005879920762536356,0.006036474500090586,0.0046829268292682925,-0.006,0.017,41
8,0,x,0.07573170731707315,0.028333402153163205,0.08085835251062012,0.07573170731707315,-0.0,0.114,41
8,0,y,-0.09658536585365855,0.01669376341815329,0.09801742005453083,0.09658536585365855,-0.128,-0.025,41
8,0,z,-0.0368780487804878,0.07104453948977847,0.08004571864360224,0.06170731707317074,-0.164,0.166,41
