iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,0.10745652173913042,0.02127941087135958,0.10954322156712548,0.10745652173913042,0.065,0.191,46
1,0,x,0.44923913043478264,0.10189576617534826,0.46065013131254057,0.44923913043478264,0.214,0.709,46
1,0,y,-0.8438478260869565,0.1454142459666752,0.8562852658558006,0.8438478260869565,-1.286,-0.586,46
1,0,z,-0.2163913043478261,0.21744289387859675,0.306768004680495,0.23282608695652177,-0.876,0.192,46
2,0,origin_time,-0.011391304347826087,0.008867327083345046,0.014435764764910312,0.011434782608695652,-0.038,0.001,46
2,0,x,0.05608695652173913,0.025580075540355303,0.0616448453361815,0.057086956521739125,-0.023,0.125,46
2,0,y,-0.05578260869565217,0.05346510972973027,0.07726718185170434,0.06643478260869565,-0.165,0.128,46
2,0,z,0.03582608695652173,0.09353616002655966,0.1001624767022583,0.08165217391304348,-0.205,0.204,46
3,0,origin_time,-0.0015,0.0025345439517748076,0.002945150767529272,0.0017608695652173917,-0.011,0.004,46
3,0,x,0.004000000000000001,0.005320183063211918,0.006656151127046843,0.004826086956521739,-0.017,0.023,46
3,0,y,-0.004869565217391305,0.008726792068736604,0.00999347613282742,0.006782608695652174,-0.038,0.017,46
3,0,z,0.018369565217391307,0.03780347275032913,0.04203026859610665,0.028847826086956522,-0.088,0.126,46
4,0,origin_time,-0.005891304347826087,0.004081923357766133,0.007167256463765707,0.0060217391304347835,-0.018,0.003,46
4,0,x,0.04821739130434781,0.005740447806643132,0.048557899102178954,0.04821739130434781,0.038,0.059,46
4,0,y,-0.03847826086956522,0.006652031825706183,0.03904902158769822,0.03847826086956522,-0.057,-0.028,46
4,0,z,0.03569565217391305,0.0421100367903866,0.05520357581360736,0.04265217391304348,-0.041,0.123,46
5,0,origin_time,-0.001065217391304348,0.001465578590494189,0.0018117970900882287,0.0011956521739130436,-0.007,0.002,46
5,0,x,0.003108695652173914,0.0026721450500004616,0.0040993106525472,0.003239130434782609,-0.001,0.013,46
5,0,y,-0.002956521739130435,0.0027815894872562285,0.0040593424183684255,0.003,-0.016,0.001,46
5,0,z,0.014978260869565219,0.021937152455252493,0.02656288682582786,0.019282608695652174,-0.059,0.077,46
6,0,origin_time,-0.004891304347826087,0.0028607407133663006,0.0056664535339287754,0.004978260869565218,-0.013,0.002,46
6,0,x,0.03884782608695653,0.004288343104096254,0.039083800714117725,0.03884782608695653,0.031,0.046,46
6,0,y,-0.024130434782608692,0.003915458192145889,0.024446036399632845,0.024130434782608692,-0.033,-0.019,46
6,0,z,0.033,0.03290169811925267,0.046599589473840165,0.0347391304347826,-0.009,0.103,46
7,0,origin_time,-0.000956521739130435,0.0011024975941831274,0.0014596008983995233,0.000956521739130435,-0.005,-0.0,46
7,0,x,0.0022826086956521745,0.0018256987164925783,0.0029229228968396625,0.0025434782608695656,-0.002,0.007,46
7,0,y,-0.0015217391304347828,0.0022625411880448153,0.0027266797774391574,0.001956521739130435,-0.01,0.007,46
7,0,z,0.015586956521739132,0.016338240135866534,0.022580772890842912,0.015760869565217394,-0.003,0.067,46
8,0,origin_time,-0.004608695652173913,0.0022887082066524967,0.005145703146273132,0.004652173913043478,-0.011,0.001,46
8,0,x,0.034173913043478256,0.0034847765060024133,0.034351128074635334,0.034173913043478256,0.028,0.041,46
8,0,y,-0.015282608695652176,0.003104436121019339,0.015594731551838685,0.015282608695652176,-0.022,-0.011,46
8,0,z,0.029239130434782608,0.027152696064878763,0.039902326400523484,0.029934782608695653,-0.006,0.078,46
