iteration,model,layer,depth,velocity
8,1,1,-5.0,4.5
8,1,2,2.3324000000000003,4.75124
8,1,3,4.0687999999999995,5.746359999999999
8,1,4,5.4308000000000005,5.969639999999999
8,1,5,9.3064,6.235360000000001
8,1,6,19.2616,6.4672
8,1,7,22.421599999999998,6.7428
8,1,8,27.022800000000004,6.9744
8,1,9,45.0,8.1
