iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.092,0.551,-1.192,0.578,iteration,True
1,0,2,-0.042,0.553,-0.665,0.646,iteration,True
1,0,3,-0.038,0.451,-0.77,0.609,iteration,True
1,0,4,-0.077,0.389,-0.584,0.614,iteration,True
1,0,5,-0.046,0.499,-0.8,0.327,iteration,True
1,0,6,-0.088,0.441,-0.887,0.578,iteration,True
1,0,7,-0.069,0.466,-0.838,0.463,iteration,True
1,0,8,-0.045,0.374,-0.689,0.676,iteration,True
1,0,9,-0.101,0.396,-0.865,0.679,iteration,True
1,0,10,-0.067,0.503,-0.527,0.625,iteration,True
1,0,11,-0.082,0.406,-0.841,0.603,iteration,True
1,0,12,-0.053,0.38,-0.712,0.643,iteration,True
1,0,13,-0.062,0.289,-1.105,0.418,iteration,True
1,0,14,-0.074,0.405,-0.817,0.485,iteration,True
1,0,15,-0.063,0.394,-0.705,0.205,iteration,True
1,0,16,-0.098,0.437,-0.946,0.461,iteration,True
1,0,17,-0.091,0.453,-0.908,0.606,iteration,True
1,0,18,-0.07,0.547,-0.882,0.456,iteration,True
1,0,19,-0.054,0.488,-0.814,0.378,iteration,True
1,0,20,-0.072,0.417,-0.82,0.603,iteration,True
1,0,21,-0.056,0.452,-0.649,0.664,iteration,True
1,0,22,-0.058,0.434,-0.475,0.599,iteration,True
1,0,23,-0.064,0.473,-0.846,0.365,iteration,True
1,0,24,-0.089,0.36,-0.833,0.522,iteration,True
1,0,25,-0.108,0.539,-1.125,0.631,iteration,True
1,0,26,-0.078,0.408,-0.824,0.648,iteration,True
1,0,27,-0.081,0.438,-0.875,0.579,iteration,True
1,0,28,-0.075,0.434,-0.442,-0.011,iteration,True
1,0,29,-0.069,0.511,-0.774,-0.042,iteration,True
1,0,30,-0.067,0.444,-0.928,0.313,iteration,True
1,0,31,-0.079,0.494,-0.921,0.606,iteration,True
1,0,32,-0.058,0.313,-0.699,0.483,iteration,True
1,0,33,-0.034,0.31,-0.634,0.564,iteration,True
1,0,34,-0.035,0.361,-0.795,0.577,iteration,True
1,0,35,-0.038,0.395,-0.815,0.531,iteration,True
1,0,36,-0.058,0.307,-1.019,0.264,iteration,True
1,0,37,-0.048,0.474,-0.533,0.551,iteration,True
1,0,38,-0.078,0.42,-0.88,0.636,iteration,True
1,0,39,-0.079,0.283,-0.697,0.385,iteration,True
1,0,40,-0.093,0.26,-0.694,0.206,iteration,True
1,0,41,-0.051,0.436,-0.523,0.337,iteration,True
1,0,42,-0.07,0.407,-0.891,0.61,iteration,True
1,0,43,-0.046,0.243,-0.81,0.331,iteration,True
1,0,44,-0.102,0.535,-0.855,0.797,iteration,True
1,0,45,-0.06,0.348,-0.683,0.539,iteration,True
1,0,46,-0.076,0.427,-0.895,0.678,iteration,True
2,0,1,-0.035,0.107,-0.208,0.201,iteration,True
2,0,2,-0.006,-0.023,-0.177,-0.075,iteration,True
2,0,3,-0.019,0.055,-0.087,-0.076,iteration,True
2,0,4,-0.008,-0.013,-0.181,-0.078,iteration,True
2,0,5,-0.02,0.083,-0.051,0.074,iteration,True
2,0,6,-0.023,0.092,-0.109,0.064,iteration,True
2,0,7,-0.013,0.085,-0.075,0.054,iteration,True
2,0,8,-0.019,0.045,-0.071,-0.07,iteration,True
2,0,9,-0.027,0.086,-0.102,0.13,iteration,True
2,0,10,0.0,-0.062,-0.251,-0.04,iteration,True
2,0,11,-0.029,0.091,-0.079,0.152,iteration,True
2,0,12,-0.02,0.045,-0.073,-0.072,iteration,True
2,0,13,-0.02,0.085,-0.124,-0.005,iteration,True
2,0,14,-0.02,0.062,-0.069,0.155,iteration,True
2,0,15,-0.014,0.03,-0.044,0.011,iteration,True
2,0,16,-0.024,0.099,-0.122,0.053,iteration,True
2,0,17,-0.023,0.096,-0.136,0.069,iteration,True
2,0,18,-0.018,0.085,-0.08,0.054,iteration,True
2,0,19,-0.022,0.08,-0.054,0.086,iteration,True
2,0,20,-0.027,0.083,-0.069,0.131,iteration,True
2,0,21,-0.016,0.015,-0.121,-0.072,iteration,True
2,0,22,0.002,0.021,-0.242,0.01,iteration,True
2,0,23,-0.023,0.054,-0.084,0.127,iteration,True
2,0,24,-0.013,0.07,-0.087,0.006,iteration,True
2,0,25,-0.031,0.139,-0.227,0.113,iteration,True
2,0,26,-0.028,0.086,-0.079,0.133,iteration,True
2,0,27,-0.023,0.09,-0.102,0.058,iteration,True
2,0,28,-0.022,0.022,-0.045,-0.112,iteration,True
2,0,29,-0.009,0.072,-0.068,-0.13,iteration,True
2,0,30,-0.015,0.042,-0.064,0.107,iteration,True
2,0,31,0.014,0.065,0.045,-0.249,iteration,True
2,0,32,-0.005,0.028,-0.148,-0.011,iteration,True
2,0,33,-0.012,0.078,-0.104,-0.023,iteration,True
2,0,34,-0.02,0.037,-0.077,-0.089,iteration,True
2,0,35,-0.018,-0.017,-0.048,-0.142,iteration,True
2,0,36,-0.023,0.094,-0.067,0.031,iteration,True
2,0,37,0.003,-0.026,-0.103,0.015,iteration,True
2,0,38,-0.03,0.113,-0.084,0.107,iteration,True
2,0,39,-0.006,-0.006,-0.12,-0.174,iteration,True
2,0,40,-0.034,0.026,-0.148,-0.273,iteration,True
2,0,41,-0.016,0.09,-0.099,-0.034,iteration,True
2,0,42,-0.024,0.088,-0.088,0.048,iteration,True
2,0,43,-0.009,0.08,-0.012,0.044,iteration,True
2,0,44,-0.038,0.154,-0.09,0.154,iteration,True
2,0,45,-0.022,0.033,-0.102,-0.015,iteration,True
2,0,46,-0.022,0.087,-0.115,0.022,iteration,True
3,0,1,-0.012,0.012,-0.045,0.127,iteration,True
3,0,2,0.0,-0.001,-0.013,-0.002,iteration,True
3,0,3,-0.0,0.003,-0.005,-0.003,iteration,True
3,0,4,0.0,-0.002,-0.014,-0.004,iteration,True
3,0,5,-0.002,0.001,-0.003,0.039,iteration,True
3,0,6,-0.002,0.006,-0.012,0.027,iteration,True
3,0,7,-0.001,0.003,-0.005,0.017,iteration,True
3,0,8,-0.0,0.002,-0.002,-0.004,iteration,True
3,0,9,-0.004,0.004,-0.009,0.059,iteration,True
3,0,10,0.001,-0.001,-0.012,-0.003,iteration,True
3,0,11,-0.005,0.008,-0.007,0.074,iteration,True
3,0,12,-0.0,0.002,-0.004,-0.003,iteration,True
3,0,13,0.0,0.003,-0.015,-0.001,iteration,True
3,0,14,-0.004,-0.003,-0.003,0.072,iteration,True
3,0,15,-0.0,0.002,-0.003,0.003,iteration,True
3,0,16,-0.002,0.007,-0.016,0.028,iteration,True
3,0,17,-0.002,0.009,-0.017,0.032,iteration,True
3,0,18,-0.001,0.002,-0.007,0.02,iteration,True
3,0,19,-0.003,0.001,-0.002,0.047,iteration,True
3,0,20,-0.004,0.005,-0.003,0.061,iteration,True
3,0,21,0.0,-0.0,-0.008,-0.002,iteration,True
3,0,22,0.001,0.001,-0.014,0.0,iteration,True
3,0,23,0.004,0.014,-0.005,-0.049,iteration,True
3,0,24,0.0,0.004,-0.009,0.001,iteration,True
3,0,25,-0.006,0.023,-0.042,0.066,iteration,True
3,0,26,-0.005,-0.0,-0.007,0.081,iteration,True
3,0,27,-0.001,0.006,-0.011,0.024,iteration,True
3,0,28,-0.001,0.0,0.001,-0.01,iteration,True
3,0,29,0.005,0.003,-0.002,-0.089,iteration,True
3,0,30,-0.002,0.003,-0.004,0.037,iteration,True
3,0,31,0.006,0.006,-0.01,-0.08,iteration,True
3,0,32,0.0,0.003,-0.007,0.001,iteration,True
3,0,33,0.001,-0.001,-0.007,-0.003,iteration,True
3,0,34,0.0,0.005,-0.008,0.005,iteration,True
3,0,35,0.002,0.011,-0.02,0.014,iteration,True
3,0,36,-0.001,0.005,-0.005,0.011,iteration,True
3,0,37,0.001,-0.002,-0.005,-0.004,iteration,True
3,0,38,-0.003,0.01,-0.003,0.041,iteration,True
3,0,39,-0.004,-0.007,0.003,-0.066,iteration,True
3,0,40,0.017,-0.046,0.09,0.105,iteration,True
3,0,41,-0.0,0.005,-0.006,-0.001,iteration,True
3,0,42,-0.001,0.005,-0.006,0.013,iteration,True
3,0,43,0.006,0.018,0.008,0.059,iteration,True
