iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.2,4.93,iteration
2,0,1,3,5.07,4.931,iteration
2,0,1,4,5.35,6.123,iteration
2,0,1,5,9.77,6.415,iteration
2,0,1,6,19.19,6.65,iteration
2,0,1,7,22.17,6.71,iteration
2,0,1,8,26.09,6.86,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.2,5.023,iteration
4,0,1,3,5.07,5.024,iteration
4,0,1,4,5.35,6.1,iteration
4,0,1,5,9.77,6.434,iteration
4,0,1,6,19.19,6.65,iteration
4,0,1,7,22.17,6.71,iteration
4,0,1,8,26.09,6.86,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.2,5.055,iteration
6,0,1,3,5.07,5.087,iteration
6,0,1,4,5.35,6.095,iteration
6,0,1,5,9.77,6.431,iteration
6,0,1,6,19.19,6.65,iteration
6,0,1,7,22.17,6.71,iteration
6,0,1,8,26.09,6.86,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.2,5.111,iteration
8,0,1,3,5.07,5.151,iteration
8,0,1,4,5.35,6.089,iteration
8,0,1,5,9.77,6.418,iteration
8,0,1,6,19.19,6.65,iteration
8,0,1,7,22.17,6.71,iteration
8,0,1,8,26.09,6.86,iteration
8,0,1,9,45.0,8.1,iteration
