iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,1.73,4.501,iteration
2,0,1,3,4.53,4.634,iteration
2,0,1,4,5.75,5.771,iteration
2,0,1,5,9.11,6.027,iteration
2,0,1,6,13.21,6.327,iteration
2,0,1,7,19.2,6.68,iteration
2,0,1,8,23.48,6.79,iteration
2,0,1,9,26.82,7.03,iteration
2,0,1,10,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,1.73,4.501,iteration
4,0,1,3,4.53,4.537,iteration
4,0,1,4,5.75,5.852,iteration
4,0,1,5,9.11,6.125,iteration
4,0,1,6,13.21,6.412,iteration
4,0,1,7,19.2,6.68,iteration
4,0,1,8,23.48,6.79,iteration
4,0,1,9,26.82,7.03,iteration
4,0,1,10,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,1.73,4.501,iteration
6,0,1,3,4.53,4.502,iteration
6,0,1,4,5.75,5.907,iteration
6,0,1,5,9.11,6.208,iteration
6,0,1,6,13.21,6.494,iteration
6,0,1,7,19.2,6.68,iteration
6,0,1,8,23.48,6.79,iteration
6,0,1,9,26.82,7.03,iteration
6,0,1,10,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,1.73,4.501,iteration
8,0,1,3,4.53,4.502,iteration
8,0,1,4,5.75,5.941,iteration
8,0,1,5,9.11,6.29,iteration
8,0,1,6,13.21,6.574,iteration
8,0,1,7,19.2,6.68,iteration
8,0,1,8,23.48,6.79,iteration
8,0,1,9,26.82,7.03,iteration
8,0,1,10,45.0,8.1,iteration
