iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.010888888888888889,0.056661655551850446,0.057698449815494275,0.03244444444444445,-0.089,0.136,0.136,9
4,0,1,0.014666666666666668,0.02543401047591372,0.029359836511806396,0.014666666666666668,0.0,0.079,0.079,9
6,0,1,0.0034444444444444453,0.011538448876219708,0.012041594578792296,0.005222222222222223,-0.008,0.035,0.035,9
8,0,1,-0.00033333333333333343,0.008192137151629673,0.008198915917499229,0.004555555555555555,-0.012,0.019,0.019,9
