iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.33,4.713,iteration
2,0,1,3,3.89,5.769,iteration
2,0,1,4,5.22,6.13,iteration
2,0,1,5,19.41,6.208,iteration
2,0,1,6,22.27,6.547,iteration
2,0,1,7,26.84,6.795,iteration
2,0,1,8,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.33,4.687,iteration
4,0,1,3,3.89,5.848,iteration
4,0,1,4,5.22,6.33,iteration
4,0,1,5,19.41,6.331,iteration
4,0,1,6,22.27,6.504,iteration
4,0,1,7,26.84,6.795,iteration
4,0,1,8,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.33,4.672,iteration
6,0,1,3,3.89,5.867,iteration
6,0,1,4,5.22,6.427,iteration
6,0,1,5,19.41,6.428,iteration
6,0,1,6,22.27,6.499,iteration
6,0,1,7,26.84,6.795,iteration
6,0,1,8,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.33,4.662,iteration
8,0,1,3,3.89,5.869,iteration
8,0,1,4,5.22,6.451,iteration
8,0,1,5,19.41,6.452,iteration
8,0,1,6,22.27,6.499,iteration
8,0,1,7,26.84,6.795,iteration
8,0,1,8,45.0,8.1,iteration
