sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.320,46.802,8.621,2.300,12.000,7.000,94.000,0.080,0.141,0.000
,,,,,,,4,2012-08-14 12:34:10.392,38.280,46.487,0.000,2.700,12.000,7.000,95.000,0.090,0.224,-0.100
,,,,,,,5,2012-08-14 13:58:41.259,38.373,46.654,0.000,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,8,2012-08-14 17:05:17.855,38.437,46.632,1.498,1.900,12.000,7.000,94.000,0.100,0.200,-0.100
,,,,,,,12,2012-08-14 18:42:57.733,38.506,46.952,4.263,1.900,13.000,10.000,63.000,0.090,0.200,0.000
,,,,,,,18,2012-08-14 21:11:55.097,38.419,46.662,13.021,1.200,13.000,4.000,95.000,0.100,0.200,0.000
,,,,,,,27,2012-08-14 22:37:18.959,38.361,46.899,4.734,1.500,13.000,9.000,78.000,0.100,0.200,-0.100
,,,,,,,32,2012-08-14 23:12:01.670,38.327,46.588,0.000,1.600,13.000,5.000,87.000,0.090,0.200,-0.100
,,,,,,,33,2012-08-14 23:26:52.187,38.479,46.761,3.756,1.200,12.000,6.000,94.000,0.080,0.200,0.000
,,,,,,,34,2012-08-14 23:33:32.284,38.546,46.583,0.000,2.100,14.000,7.000,95.000,0.100,0.200,-0.100
,,,,,,,35,2012-08-14 23:34:16.092,38.418,46.914,9.443,1.200,13.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,37,2012-08-14 23:42:05.359,38.280,46.725,0.000,1.600,13.000,6.000,85.000,0.090,0.200,-0.100
,,,,,,,39,2012-08-14 23:56:13.041,38.324,46.967,11.626,1.100,12.000,3.000,81.000,0.080,0.200,0.000
,,,,,,,40,2012-08-15 00:30:25.122,38.548,46.896,28.316,1.100,12.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,44,2012-08-15 01:12:32.728,38.412,46.757,9.249,0.000,14.000,6.000,86.000,0.100,0.200,-0.000
,,,,,,,45,2012-08-15 01:13:31.872,38.225,46.841,0.000,1.300,13.000,6.000,92.000,0.090,0.200,0.000
,,,,,,,46,2012-08-15 01:15:32.094,38.413,46.670,28.673,1.600,13.000,1.000,76.000,0.100,0.200,0.000
,,,,,,,47,2012-08-15 01:16:30.006,38.302,46.860,14.286,0.800,13.000,9.000,63.000,0.090,0.200,0.000
,,,,,,,48,2012-08-15 01:19:01.392,38.350,46.971,0.000,1.300,13.000,9.000,69.000,0.090,0.200,0.000
,,,,,,,51,2012-08-15 01:32:21.905,38.370,46.757,16.962,1.900,13.000,6.000,95.000,0.090,0.200,0.000
,,,,,,,56,2012-08-15 02:04:37.798,38.328,46.671,3.418,1.800,13.000,6.000,89.000,0.100,0.200,-0.100
,,,,,,,59,2012-08-15 02:27:22.049,38.449,46.696,0.000,1.800,13.000,4.000,82.000,0.080,0.200,-0.100
,,,,,,,60,2012-08-15 02:39:11.708,38.398,46.893,2.820,2.000,14.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,63,2012-08-15 02:53:43.377,38.359,46.732,0.000,1.500,12.000,4.000,99.000,0.100,0.200,-0.100
,,,,,,,65,2012-08-15 03:44:30.491,38.438,46.674,12.227,0.000,12.000,5.000,90.000,0.080,0.200,0.000
,,,,,,,73,2012-08-15 06:13:54.422,38.488,46.801,19.199,1.900,13.000,5.000,98.000,0.090,0.200,0.000
,,,,,,,74,2012-08-15 06:25:10.541,38.260,46.785,6.707,2.600,13.000,5.000,95.000,0.090,0.200,0.000
,,,,,,,76,2012-08-15 07:12:14.074,38.369,46.561,8.625,2.500,12.000,9.000,88.000,0.090,0.200,-0.000
,,,,,,,77,2012-08-15 09:03:23.617,38.307,46.879,27.955,1.600,12.000,12.000,84.000,0.100,0.200,-0.100
,,,,,,,80,2012-08-15 09:25:49.082,38.388,46.680,0.000,2.200,15.000,7.000,88.000,0.090,0.200,0.000
,,,,,,,81,2012-08-15 10:00:34.872,38.307,46.689,15.211,2.600,17.000,2.000,71.000,0.100,0.200,0.000
,,,,,,,83,2012-08-15 10:53:24.653,38.395,46.527,0.924,2.400,15.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,84,2012-08-15 10:56:56.952,38.406,46.798,0.000,2.900,17.000,3.000,83.000,0.090,0.200,-0.100
,,,,,,,85,2012-08-15 11:23:43.842,38.371,46.642,0.000,1.900,13.000,6.000,92.000,0.080,0.224,-0.100
,,,,,,,87,2012-08-15 11:39:28.983,38.293,46.596,3.733,2.000,15.000,5.000,78.000,0.080,0.224,-0.100
,,,,,,,88,2012-08-15 12:03:56.688,38.349,46.703,12.689,1.600,14.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,89,2012-08-15 13:19:00.839,38.338,46.742,0.000,2.200,19.000,2.000,62.000,0.090,0.200,-0.100
,,,,,,,96,2012-08-15 14:20:41.315,38.290,46.693,10.376,1.600,14.000,3.000,78.000,0.090,0.200,0.000
,,,,,,,101,2012-08-15 16:01:21.232,38.423,46.562,12.365,1.600,12.000,6.000,97.000,0.100,0.200,-0.100
,,,,,,,104,2012-08-15 16:37:20.799,38.293,46.726,7.357,2.200,14.000,7.000,87.000,0.100,0.200,-0.100
,,,,,,,111,2012-08-15 19:59:43.514,38.495,46.543,12.869,1.600,14.000,6.000,61.000,0.090,0.200,-0.100
,,,,,,,115,2012-08-15 20:38:42.800,38.474,46.767,14.315,1.800,16.000,3.000,74.000,0.080,0.200,0.000
,,,,,,,117,2012-08-15 20:41:15.941,38.222,46.821,9.006,1.200,13.000,5.000,75.000,0.090,0.141,-0.100
,,,,,,,119,2012-08-15 20:54:02.913,38.447,46.700,28.963,1.300,14.000,1.000,81.000,0.090,0.200,0.000
,,,,,,,122,2012-08-15 21:02:49.754,38.298,46.662,11.378,2.500,15.000,6.000,61.000,0.100,0.224,-0.000
,,,,,,,123,2012-08-15 21:14:04.494,38.435,46.853,11.684,1.200,16.000,0.000,85.000,0.100,0.200,0.000
