iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,2.546689,1.740165,1.319153,,True,True,False,accepted
1,0,0,0.314884,0.215161,0.463855,68.102,True,True,False,accepted
2,0,0,0.124928,0.079988,0.282822,10.344,True,True,False,accepted
3,0,0,0.025711,0.017569,0.132547,15.099,True,True,False,accepted
4,0,0,0.011209,0.007177,0.084718,6.758,True,True,False,accepted
5,0,0,0.006459,0.004413,0.066432,6.686,True,True,False,accepted
6,0,0,0.00386,0.002471,0.049713,5.285,True,True,False,accepted
7,0,0,0.002556,0.001747,0.041795,3.794,True,True,False,accepted
8,0,0,0.002174,0.001392,0.037308,2.812,True,True,True,accepted
