ort,lat,lon,dep,mag
2012-08-14 12:10:18.640,38.3733,46.8064,16.06,2.3
2012-08-14 12:34:10.850,38.3857,46.6609,5.08,2.7
2012-08-14 13:58:41.670,38.3828,46.6707,4.91,2.0
2012-08-14 17:05:18.250,38.3868,46.651,4.41,1.9
2012-08-14 18:42:58.140,38.3929,46.8754,6.01,1.9
2012-08-14 21:11:55.280,38.396,46.7738,12.95,1.2
2012-08-14 22:37:19.250,38.3998,46.843,10.58,1.5
2012-08-14 23:12:02.080,38.3864,46.6847,4.72,1.6
2012-08-14 23:26:52.290,38.4005,46.8008,14.11,1.2
2012-08-14 23:33:32.690,38.3866,46.6538,5.29,2.1
2012-08-14 23:34:16.370,38.3798,46.7905,9.48,1.2
2012-08-14 23:42:05.760,38.3771,46.6702,6.06,1.6
2012-08-14 23:56:13.290,38.3944,46.7541,12.54,1.1
2012-08-15 00:30:25.460,38.3922,46.849,9.68,1.1
2012-08-15 01:12:33.110,38.3827,46.6787,5.53,0.0
2012-08-15 01:13:32.060,38.3651,46.7708,12.71,1.3
2012-08-15 01:15:32.270,38.4086,46.7276,13.9,1.6
2012-08-15 01:16:30.280,38.3951,46.8786,11.57,0.8
2012-08-15 01:19:01.780,38.3953,46.8607,7.54,1.3
2012-08-15 01:32:22.220,38.4032,46.8009,9.24,1.9
2012-08-15 02:04:38.200,38.379,46.6479,4.0,1.8
2012-08-15 02:27:22.470,38.3878,46.6961,4.03,1.8
2012-08-15 02:39:11.990,38.3921,46.8493,10.47,2.0
2012-08-15 02:53:43.650,38.4002,46.771,11.04,1.5
2012-08-15 03:44:30.510,38.3817,46.6831,15.56,0.0
2012-08-15 06:13:54.720,38.4014,46.7857,10.16,1.9
2012-08-15 06:25:10.750,38.3952,46.7822,12.27,2.6
2012-08-15 07:12:14.450,38.3821,46.6327,4.93,2.5
2012-08-15 09:03:23.930,38.3825,46.805,9.94,1.6
2012-08-15 09:25:49.300,38.3911,46.8043,11.74,2.2
2012-08-15 10:00:35.010,38.413,46.8047,15.28,2.6
2012-08-15 10:53:25.070,38.3798,46.637,5.24,2.4
2012-08-15 10:56:57.380,38.3985,46.7123,4.23,2.9
2012-08-15 11:23:44.260,38.3855,46.6716,4.93,1.9
2012-08-15 11:39:29.400,38.3734,46.6823,4.69,2.0
2012-08-15 12:03:57.000,38.3705,46.8143,9.17,1.6
2012-08-15 13:19:01.280,38.4296,46.7038,4.47,2.2
2012-08-15 14:20:41.540,38.4,46.7954,11.84,1.6
2012-08-15 16:01:21.590,38.3913,46.6763,6.49,1.6
2012-08-15 16:37:21.160,38.3813,46.6711,4.92,2.2
2012-08-15 19:59:43.900,38.3774,46.6435,5.97,1.6
2012-08-15 20:38:43.050,38.3976,46.8046,11.59,1.8
2012-08-15 20:41:16.250,38.3908,46.8324,3.79,1.2
2012-08-15 20:54:03.050,38.4125,46.7423,13.66,1.3
2012-08-15 21:02:50.060,38.3842,46.6628,7.63,2.5
2012-08-15 21:14:04.670,38.4222,46.7354,13.24,1.2
