sta,dis,azm,pha,wet,ptt,res,eid,ort,lat,lon,dep,mag,nst,dmn,gap,rms,erh,erz
,,,,,,,1,2012-08-14 12:10:18.509,38.487,46.785,2.729,2.300,12.000,7.000,94.000,0.080,0.141,0.000
,,,,,,,4,2012-08-14 12:34:10.392,38.559,46.729,17.740,2.700,12.000,7.000,95.000,0.090,0.224,-0.100
,,,,,,,5,2012-08-14 13:58:41.259,38.165,46.684,0.000,2.000,12.000,6.000,89.000,0.100,0.224,-0.100
,,,,,,,8,2012-08-14 17:05:17.855,38.387,46.523,0.000,1.900,12.000,7.000,94.000,0.100,0.200,-0.100
,,,,,,,12,2012-08-14 18:42:57.733,38.495,46.936,0.000,1.900,13.000,10.000,63.000,0.090,0.200,0.000
,,,,,,,18,2012-08-14 21:11:55.097,38.531,46.860,11.918,1.200,13.000,4.000,95.000,0.100,0.200,0.000
,,,,,,,27,2012-08-14 22:37:18.959,38.470,46.811,6.158,1.500,13.000,9.000,78.000,0.100,0.200,-0.100
,,,,,,,32,2012-08-14 23:12:01.670,38.533,46.686,8.049,1.600,13.000,5.000,87.000,0.090,0.200,-0.100
,,,,,,,33,2012-08-14 23:26:52.187,38.438,46.656,15.925,1.200,12.000,6.000,94.000,0.080,0.200,0.000
,,,,,,,34,2012-08-14 23:33:32.284,38.449,46.522,6.994,2.100,14.000,7.000,95.000,0.100,0.200,-0.100
,,,,,,,35,2012-08-14 23:34:16.092,38.409,46.749,5.296,1.200,13.000,6.000,84.000,0.090,0.200,0.000
,,,,,,,37,2012-08-14 23:42:05.359,38.294,46.730,21.930,1.600,13.000,6.000,85.000,0.090,0.200,-0.100
,,,,,,,39,2012-08-14 23:56:13.041,38.334,46.706,0.000,1.100,12.000,3.000,81.000,0.080,0.200,0.000
,,,,,,,40,2012-08-15 00:30:25.122,38.438,46.864,0.000,1.100,12.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,44,2012-08-15 01:12:32.728,38.342,46.768,0.000,0.000,14.000,6.000,86.000,0.100,0.200,-0.000
,,,,,,,45,2012-08-15 01:13:31.872,38.495,46.774,0.000,1.300,13.000,6.000,92.000,0.090,0.200,0.000
,,,,,,,46,2012-08-15 01:15:32.094,38.537,46.777,0.000,1.600,13.000,1.000,76.000,0.100,0.200,0.000
,,,,,,,47,2012-08-15 01:16:30.006,38.569,46.996,2.857,0.800,13.000,9.000,63.000,0.090,0.200,0.000
,,,,,,,48,2012-08-15 01:19:01.392,38.405,46.738,0.730,1.300,13.000,9.000,69.000,0.090,0.200,0.000
,,,,,,,51,2012-08-15 01:32:21.905,38.538,46.860,0.000,1.900,13.000,6.000,95.000,0.090,0.200,0.000
,,,,,,,56,2012-08-15 02:04:37.798,38.311,46.485,11.828,1.800,13.000,6.000,89.000,0.100,0.200,-0.100
,,,,,,,59,2012-08-15 02:27:22.049,38.326,46.737,16.288,1.800,13.000,4.000,82.000,0.080,0.200,-0.100
,,,,,,,60,2012-08-15 02:39:11.708,38.411,46.856,21.498,2.000,14.000,10.000,73.000,0.090,0.200,-0.100
,,,,,,,63,2012-08-15 02:53:43.377,38.437,46.716,4.103,1.500,12.000,4.000,99.000,0.100,0.200,-0.100
