iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,2.562279,1.750818,1.323185,,True,True,False,accepted
1,0,0,0.508875,0.347717,0.589675,71.938,True,True,False,accepted
2,0,0,0.175506,0.112372,0.335219,15.051,True,True,False,accepted
3,0,0,0.052688,0.036002,0.189743,15.397,True,True,False,accepted
4,0,0,0.029265,0.018738,0.136885,9.001,True,True,False,accepted
5,0,0,0.013213,0.009029,0.095019,7.489,True,True,False,accepted
6,0,0,0.006285,0.004024,0.063436,6.155,True,True,False,accepted
7,0,0,0.002814,0.001923,0.043849,4.245,True,True,False,accepted
8,0,0,0.002079,0.001331,0.036484,2.94,True,True,True,accepted
