iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.033499999999999995,0.08482187217929112,0.09119758768739444,0.05425,-0.061,0.2,0.2,8
4,0,1,0.028625000000000005,0.0749715571066788,0.08025038940715491,0.043625000000000004,-0.06,0.2,0.2,8
6,0,1,-0.0019999999999999996,0.016401219466856725,0.016522711641858305,0.01,-0.026,0.032,0.032,8
8,0,1,-0.00275,0.008011710179481032,0.008470537173048708,0.004999999999999999,-0.018,0.009,0.018,8
