iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.131518,0.094007,0.306605,,True,True,False,accepted
1,0,0,0.065026,0.046479,0.215591,13.364,True,True,False,accepted
2,0,0,0.04013,0.026521,0.162852,1.072,True,True,False,accepted
3,0,0,0.025904,0.018516,0.136074,6.827,True,True,False,accepted
4,0,0,0.019002,0.012558,0.112062,0.927,True,True,False,accepted
5,0,0,0.017218,0.012307,0.110938,1.54,True,True,False,accepted
6,0,0,0.013153,0.008693,0.093234,0.912,True,True,False,accepted
7,0,0,0.012149,0.008684,0.093189,0.851,True,True,False,accepted
8,0,0,0.009557,0.006316,0.079472,0.839,True,True,True,accepted
