iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.0405,0.057807006495752745,0.07058257575351015,0.0405,0.0,0.16,0.16,10
4,0,1,0.017099999999999997,0.025093624688354608,0.030366099519036027,0.017099999999999997,0.0,0.064,0.064,10
6,0,1,0.0188,0.02334009425859287,0.029969984984981223,0.0188,0.0,0.055,0.055,10
8,0,1,0.0173,0.02425716389028198,0.029794294755875663,0.0173,0.0,0.072,0.072,10
