iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.45,4.501,iteration
2,0,1,3,4.23,4.757,iteration
2,0,1,4,6.12,5.971,iteration
2,0,1,5,9.94,6.255,iteration
2,0,1,6,19.69,6.54,iteration
2,0,1,7,22.93,6.83,iteration
2,0,1,8,26.07,7.03,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.45,4.501,iteration
4,0,1,3,4.23,4.77,iteration
4,0,1,4,6.12,6.007,iteration
4,0,1,5,9.94,6.319,iteration
4,0,1,6,19.69,6.54,iteration
4,0,1,7,22.93,6.83,iteration
4,0,1,8,26.07,7.03,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.45,4.501,iteration
6,0,1,3,4.23,4.817,iteration
6,0,1,4,6.12,6.029,iteration
6,0,1,5,9.94,6.343,iteration
6,0,1,6,19.69,6.54,iteration
6,0,1,7,22.93,6.83,iteration
6,0,1,8,26.07,7.03,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.45,4.501,iteration
8,0,1,3,4.23,4.886,iteration
8,0,1,4,6.12,6.041,iteration
8,0,1,5,9.94,6.358,iteration
8,0,1,6,19.69,6.54,iteration
8,0,1,7,22.93,6.83,iteration
8,0,1,8,26.07,7.03,iteration
8,0,1,9,45.0,8.1,iteration
