iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.04234,0.030264,0.173965,,True,True,False,accepted
1,0,0,0.024355,0.017409,0.131942,5.432,True,True,False,accepted
2,0,0,0.002726,0.001816,0.042612,3.163,True,True,False,accepted
3,0,0,0.002501,0.001787,0.042278,0.57,True,True,False,accepted
4,0,0,0.002519,0.001678,0.040961,1.578,True,True,False,accepted
5,0,0,0.002339,0.001672,0.040888,0.221,True,True,False,accepted
6,0,0,0.002435,0.001622,0.040275,1.067,True,True,False,accepted
7,0,0,0.002262,0.001617,0.040208,0.284,True,True,False,accepted
8,0,0,0.002383,0.001587,0.039839,0.792,True,True,True,accepted
