iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.72,4.746,iteration
2,0,1,3,4.23,5.41,iteration
2,0,1,4,5.95,6.079,iteration
2,0,1,5,9.01,6.307,iteration
2,0,1,6,19.39,6.66,iteration
2,0,1,7,22.92,6.77,iteration
2,0,1,8,27.06,6.96,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.72,4.618,iteration
4,0,1,3,4.23,5.591,iteration
4,0,1,4,5.95,6.084,iteration
4,0,1,5,9.01,6.33,iteration
4,0,1,6,19.39,6.66,iteration
4,0,1,7,22.92,6.77,iteration
4,0,1,8,27.06,6.96,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.72,4.558,iteration
6,0,1,3,4.23,5.696,iteration
6,0,1,4,5.95,6.089,iteration
6,0,1,5,9.01,6.333,iteration
6,0,1,6,19.39,6.66,iteration
6,0,1,7,22.92,6.77,iteration
6,0,1,8,27.06,6.96,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.72,4.525,iteration
8,0,1,3,4.23,5.737,iteration
8,0,1,4,5.95,6.083,iteration
8,0,1,5,9.01,6.333,iteration
8,0,1,6,19.39,6.66,iteration
8,0,1,7,22.92,6.77,iteration
8,0,1,8,27.06,6.96,iteration
8,0,1,9,45.0,8.1,iteration
