iteration,backup,attempt,data_variance,mean_squared_residual,rms_residual,step_length,better,accepted,final,status
0,0,0,0.020486,0.013998,0.118314,,True,True,False,accepted
1,0,0,0.001826,0.001247,0.03532,6.881,True,True,False,accepted
2,0,0,0.001443,0.000921,0.030356,1.191,True,True,False,accepted
3,0,0,0.001336,0.000913,0.03021,0.398,True,True,False,accepted
4,0,0,0.001394,0.00089,0.029838,0.599,True,True,False,accepted
5,0,0,0.001316,0.000899,0.029989,0.235,True,True,False,accepted
6,0,0,0.001379,0.00088,0.02967,0.432,True,True,False,accepted
7,0,0,0.001289,0.000881,0.029677,0.135,True,True,False,accepted
8,0,0,0.001383,0.000883,0.029721,0.317,True,True,True,accepted
