iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.38,4.834,iteration
2,0,1,3,3.97,5.762,iteration
2,0,1,4,5.04,6.02,iteration
2,0,1,5,9.53,6.268,iteration
2,0,1,6,19.81,6.5,iteration
2,0,1,7,22.48,6.79,iteration
2,0,1,8,26.49,6.88,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.38,4.843,iteration
4,0,1,3,3.97,5.782,iteration
4,0,1,4,5.04,5.992,iteration
4,0,1,5,9.53,6.276,iteration
4,0,1,6,19.81,6.5,iteration
4,0,1,7,22.48,6.79,iteration
4,0,1,8,26.49,6.88,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.38,4.852,iteration
6,0,1,3,3.97,5.811,iteration
6,0,1,4,5.04,5.969,iteration
6,0,1,5,9.53,6.269,iteration
6,0,1,6,19.81,6.5,iteration
6,0,1,7,22.48,6.79,iteration
6,0,1,8,26.49,6.88,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.38,4.859,iteration
8,0,1,3,3.97,5.814,iteration
8,0,1,4,5.04,5.965,iteration
8,0,1,5,9.53,6.263,iteration
8,0,1,6,19.81,6.5,iteration
8,0,1,7,22.48,6.79,iteration
8,0,1,8,26.49,6.88,iteration
8,0,1,9,45.0,8.1,iteration
