iteration,backup,parameter,mean,std,rms,mean_abs,min,max,n_events
1,0,origin_time,-0.23431707317073172,0.07657880972404013,0.24651329554011642,0.23431707317073172,-0.368,-0.009,41
1,0,x,0.08753658536585365,0.268736891688123,0.2826343410339715,0.2290487804878049,-0.559,0.632,41
1,0,y,0.09853658536585366,0.41349250723508857,0.4250711848562802,0.3589756097560975,-0.747,0.802,41
1,0,z,-0.42039024390243906,0.3662298277503989,0.5575412486107544,0.45985365853658533,-1.457,0.379,41
2,0,origin_time,0.06268292682926829,0.025377577028233296,0.06762522260005743,0.06268292682926829,0.016,0.127,41
2,0,x,0.23478048780487804,0.14875967067479762,0.27794121154152496,0.23526829268292682,-0.01,0.579,41
2,0,y,-0.23865853658536584,0.13608992897562305,0.27473326310015417,0.24304878048780487,-0.503,0.09,41
2,0,z,0.026902439024390244,0.17196848901343337,0.17406005411645828,0.14329268292682926,-0.382,0.443,41
3,0,origin_time,0.0019999999999999996,0.004515555768943511,0.004938647983247948,0.003463414634146342,-0.012,0.012,41
3,0,x,0.01078048780487805,0.015229163606458837,0.01865868005683721,0.015024390243902437,-0.034,0.051,41
3,0,y,-0.019073170731707317,0.028493379842070492,0.034287877399824064,0.028390243902439022,-0.064,0.095,41
3,0,z,-0.0435609756097561,0.07844744979625527,0.08973049077994479,0.06853658536585366,-0.239,0.16,41
4,0,origin_time,0.0076585365853658535,0.007246899273339585,0.010543753207815377,0.007951219512195122,-0.002,0.031,41
4,0,x,0.15280487804878048,0.038077084531887975,0.15747760196914107,0.15280487804878048,0.066,0.225,41
4,0,y,-0.18939024390243903,0.027106724976745197,0.19132025252019255,0.18939024390243903,-0.247,-0.1,41
4,0,z,-0.02331707317073171,0.060786085949764916,0.06510479357421743,0.05482926829268292,-0.165,0.112,41
5,0,origin_time,0.000878048780487805,0.0013649823004520218,0.0016230053424013781,0.001121951219512195,-0.002,0.005,41
5,0,x,0.005609756097560976,0.007046459234636191,0.009006772519582817,0.008390243902439023,-0.016,0.015,41
5,0,y,-0.013682926829268294,0.014542518023301901,0.019967656774723737,0.018121951219512194,-0.04,0.03,41
5,0,z,-0.018390243902439023,0.02319364720504774,0.029599769280577417,0.02248780487804878,-0.105,0.023,41
6,0,origin_time,-0.000829268292682927,0.003470449742587251,0.0035681518068985197,0.002829268292682927,-0.006,0.013,41
6,0,x,0.10670731707317073,0.024802875425790242,0.10955197007056268,0.10670731707317073,0.065,0.143,41
6,0,y,-0.13190243902439025,0.020394648841503334,0.13346982850798608,0.13190243902439025,-0.17,-0.09,41
6,0,z,-0.040682926829268294,0.060568219560277345,0.07296307118054696,0.058829268292682924,-0.137,0.146,41
7,0,origin_time,0.00014634146341463414,0.0006073121755116455,0.0006246950475544242,0.0003414634146341464,-0.002,0.001,41
7,0,x,0.004853658536585366,0.0028418559343667336,0.005624424089759183,0.004902439024390244,-0.001,0.014,41
7,0,y,-0.011292682926829268,0.006344745867170473,0.012953010762169467,0.011292682926829268,-0.027,-0.0,41
7,0,z,-0.011414634146341465,0.0160425890644416,0.019689046106537662,0.014682926829268292,-0.06,0.027,41
8,0,origin_time,-0.0023902439024390248,0.004399989183914022,0.005007311727035508,0.004390243902439024,-0.008,0.01,41
8,0,x,0.08165853658536586,0.024267422462642563,0.08518817048301897,0.08165853658536586,0.04,0.118,41
8,0,y,-0.08865853658536585,0.014018471709780985,0.08975997804443017,0.08865853658536585,-0.116,-0.063,41
8,0,z,-0.03878048780487805,0.05371674226683937,0.06625265756289586,0.05346341463414633,-0.137,0.124,41
