iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.06,4.501,iteration
2,0,1,3,3.54,5.638,iteration
2,0,1,4,5.68,6.059,iteration
2,0,1,5,8.71,6.289,iteration
2,0,1,6,19.82,6.4,iteration
2,0,1,7,22.75,6.65,iteration
2,0,1,8,26.53,6.85,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.06,4.501,iteration
4,0,1,3,3.54,5.69,iteration
4,0,1,4,5.68,6.095,iteration
4,0,1,5,8.71,6.329,iteration
4,0,1,6,19.82,6.4,iteration
4,0,1,7,22.75,6.65,iteration
4,0,1,8,26.53,6.85,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.06,4.501,iteration
6,0,1,3,3.54,5.715,iteration
6,0,1,4,5.68,6.116,iteration
6,0,1,5,8.71,6.333,iteration
6,0,1,6,19.82,6.4,iteration
6,0,1,7,22.75,6.65,iteration
6,0,1,8,26.53,6.85,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.06,4.501,iteration
8,0,1,3,3.54,5.734,iteration
8,0,1,4,5.68,6.121,iteration
8,0,1,5,8.71,6.353,iteration
8,0,1,6,19.82,6.4,iteration
8,0,1,7,22.75,6.65,iteration
8,0,1,8,26.53,6.85,iteration
8,0,1,9,45.0,8.1,iteration
