iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,2.33,4.696,iteration
2,0,1,3,3.89,5.818,iteration
2,0,1,4,5.22,6.13,iteration
2,0,1,5,19.41,6.145,iteration
2,0,1,6,22.27,6.542,iteration
2,0,1,7,26.84,6.81,iteration
2,0,1,8,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,2.33,4.651,iteration
4,0,1,3,3.89,5.846,iteration
4,0,1,4,5.22,6.33,iteration
4,0,1,5,19.41,6.331,iteration
4,0,1,6,22.27,6.542,iteration
4,0,1,7,26.84,6.81,iteration
4,0,1,8,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,2.33,4.612,iteration
6,0,1,3,3.89,5.804,iteration
6,0,1,4,5.22,6.403,iteration
6,0,1,5,19.41,6.404,iteration
6,0,1,6,22.27,6.542,iteration
6,0,1,7,26.84,6.81,iteration
6,0,1,8,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,2.33,4.58,iteration
8,0,1,3,3.89,5.756,iteration
8,0,1,4,5.22,6.43,iteration
8,0,1,5,19.41,6.431,iteration
8,0,1,6,22.27,6.542,iteration
8,0,1,7,26.84,6.81,iteration
8,0,1,8,45.0,8.1,iteration
