iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.184,-0.977,4.036,1.6,iteration,True
1,0,2,-0.042,-0.336,0.81,2.0,iteration,True
1,0,4,0.152,-3.183,-7.044,0.513,iteration,True
1,0,5,0.214,-1.673,15.201,2.0,iteration,True
1,0,6,-0.725,4.812,-1.159,-2.0,iteration,True
1,0,7,-0.27,-6.81,5.005,-0.009,iteration,True
1,0,8,0.055,-2.184,-2.288,0.792,iteration,True
1,0,9,0.164,0.443,13.434,2.0,iteration,True
1,0,10,0.175,5.96,-2.657,2.0,iteration,True
1,0,11,-0.608,-9.795,-3.439,-1.314,iteration,True
1,0,13,-0.257,-1.891,-4.007,-0.765,iteration,True
1,0,14,-0.567,1.302,-5.521,-1.212,iteration,True
1,0,15,0.503,5.505,9.06,2.0,iteration,True
1,0,17,0.926,8.114,8.798,2.0,iteration,True
1,0,19,-0.024,0.444,2.069,-0.117,iteration,True
1,0,20,0.003,2.895,7.0,0.923,iteration,True
1,0,21,0.077,-7.13,5.114,-0.487,iteration,True
1,0,22,0.32,9.044,3.414,1.642,iteration,True
1,0,23,0.144,-4.968,-4.416,2.0,iteration,True
1,0,24,-0.806,-9.363,0.138,-2.0,iteration,True
1,0,26,1.117,-0.491,12.918,2.0,iteration,True
1,0,27,-0.357,-8.224,-0.891,0.969,iteration,True
1,0,28,0.163,11.447,2.358,2.0,iteration,True
1,0,29,-1.109,-2.175,-9.021,-2.0,iteration,True
1,0,30,0.215,9.0,15.507,2.0,iteration,True
1,0,31,-0.176,-5.339,1.9,1.773,iteration,True
1,0,32,-0.373,-0.47,-4.314,-2.0,iteration,True
1,0,35,0.096,-7.428,-2.903,-2.0,iteration,True
1,0,38,0.134,17.513,5.367,2.0,iteration,True
1,0,39,0.079,-7.562,6.345,2.0,iteration,True
1,0,40,-0.171,9.358,1.163,-2.0,iteration,True
1,0,41,0.084,-3.443,-7.724,1.617,iteration,True
1,0,42,-0.386,-0.476,-9.162,-1.256,iteration,True
1,0,44,0.513,-6.275,3.825,2.0,iteration,True
1,0,45,0.217,-4.313,6.94,2.0,iteration,True
1,0,46,0.382,-5.299,3.716,2.0,iteration,True
2,0,1,0.072,-0.518,0.064,1.306,iteration,True
2,0,2,0.216,0.404,0.037,1.356,iteration,True
2,0,3,0.129,-0.778,-2.523,-2.0,iteration,True
2,0,4,0.116,0.225,-0.61,0.061,iteration,True
2,0,5,-0.058,-0.799,-0.055,-0.016,iteration,True
2,0,6,0.191,-0.498,-0.221,-0.75,iteration,True
2,0,7,0.133,-0.681,0.037,0.019,iteration,True
2,0,8,0.181,0.135,-0.228,0.849,iteration,True
2,0,9,-0.055,-0.274,0.528,1.288,iteration,True
2,0,10,0.113,0.73,-0.556,0.702,iteration,True
2,0,11,0.236,-0.264,-0.408,-1.071,iteration,True
2,0,12,0.042,-0.412,-1.326,-2.0,iteration,True
2,0,13,0.154,-0.306,-0.465,0.759,iteration,True
2,0,14,0.213,-0.597,-0.439,-0.128,iteration,True
2,0,15,-0.043,0.761,1.663,1.975,iteration,True
2,0,16,0.084,-0.697,-2.132,-0.112,iteration,True
2,0,17,0.011,0.3,2.556,2.0,iteration,True
2,0,18,0.219,-0.671,-0.857,-1.219,iteration,True
2,0,19,0.149,-0.664,-0.06,0.802,iteration,True
2,0,20,0.074,-0.299,0.284,0.587,iteration,True
2,0,21,0.157,0.45,-0.358,-1.23,iteration,True
2,0,22,0.065,0.718,0.968,0.298,iteration,True
2,0,23,0.068,-0.836,-0.411,1.295,iteration,True
2,0,24,0.28,-0.178,-0.21,-0.998,iteration,True
2,0,25,0.031,0.307,-2.744,1.083,iteration,True
2,0,26,-0.418,-0.335,1.006,2.0,iteration,True
2,0,27,0.149,-0.487,-0.317,0.097,iteration,True
2,0,28,0.267,2.133,2.602,2.0,iteration,True
2,0,29,0.201,-0.426,-0.525,-1.717,iteration,True
2,0,30,-0.042,-0.366,1.775,1.837,iteration,True
