iteration,backup,model,mean_change,std_change,rms_change,mean_abs_change,min_change,max_change,max_abs_change,n_layers
2,0,1,0.015125000000000006,0.09713320428669077,0.09830373848435268,0.06937499999999999,-0.105,0.2,0.2,8
4,0,1,0.022875,0.06935314971217961,0.07302824795926574,0.033875,-0.044,0.2,0.2,8
6,0,1,-0.0010000000000000009,0.03279862802008645,0.03281386901905961,0.01925,-0.042,0.073,0.073,8
8,0,1,-0.006625000000000001,0.021522880267287648,0.02251943604977709,0.013375,-0.048,0.027,0.048,8
