iteration,backup,model,layer,depth,velocity,state_type
2,0,1,1,-5.0,4.5,iteration
2,0,1,2,1.78,4.568,iteration
2,0,1,3,3.84,4.794,iteration
2,0,1,4,5.68,5.972,iteration
2,0,1,5,10.12,6.279,iteration
2,0,1,6,18.44,6.46,iteration
2,0,1,7,23.65,6.89,iteration
2,0,1,8,27.39,7.07,iteration
2,0,1,9,45.0,8.1,iteration
4,0,1,1,-5.0,4.5,iteration
4,0,1,2,1.78,4.52,iteration
4,0,1,3,3.84,4.85,iteration
4,0,1,4,5.68,5.984,iteration
4,0,1,5,10.12,6.314,iteration
4,0,1,6,18.44,6.46,iteration
4,0,1,7,23.65,6.89,iteration
4,0,1,8,27.39,7.07,iteration
4,0,1,9,45.0,8.1,iteration
6,0,1,1,-5.0,4.5,iteration
6,0,1,2,1.78,4.501,iteration
6,0,1,3,3.84,4.937,iteration
6,0,1,4,5.68,5.987,iteration
6,0,1,5,10.12,6.323,iteration
6,0,1,6,18.44,6.46,iteration
6,0,1,7,23.65,6.89,iteration
6,0,1,8,27.39,7.07,iteration
6,0,1,9,45.0,8.1,iteration
8,0,1,1,-5.0,4.5,iteration
8,0,1,2,1.78,4.501,iteration
8,0,1,3,3.84,5.048,iteration
8,0,1,4,5.68,5.991,iteration
8,0,1,5,10.12,6.308,iteration
8,0,1,6,18.44,6.46,iteration
8,0,1,7,23.65,6.89,iteration
8,0,1,8,27.39,7.07,iteration
8,0,1,9,45.0,8.1,iteration
