iteration,backup,event,origin_time_change,dx,dy,dz,change_type,applied
1,0,1,-0.529,-0.077,-0.583,0.608,iteration,True
1,0,2,-0.491,-0.33,0.301,0.213,iteration,True
1,0,3,-0.492,-0.065,-0.179,0.882,iteration,True
1,0,4,-0.573,0.078,0.444,1.6,iteration,True
1,0,5,-0.465,0.214,-0.38,0.863,iteration,True
1,0,6,-0.582,0.035,0.003,1.041,iteration,True
1,0,7,-0.555,0.288,0.446,1.3,iteration,True
1,0,8,-0.593,0.302,0.401,1.892,iteration,True
1,0,9,-0.467,0.568,-0.163,0.639,iteration,True
1,0,10,-0.469,0.392,0.197,0.543,iteration,True
1,0,11,-0.512,0.463,0.157,0.477,iteration,True
1,0,12,-0.554,-0.451,-0.374,0.78,iteration,True
1,0,13,-0.503,-0.205,0.445,1.135,iteration,True
1,0,14,-0.644,0.079,0.368,1.598,iteration,True
1,0,15,-0.506,0.0,0.272,1.006,iteration,True
1,0,16,-0.537,0.011,-0.112,0.441,iteration,True
1,0,17,-0.479,0.211,0.055,0.428,iteration,True
1,0,18,-0.445,0.519,-0.064,0.763,iteration,True
1,0,19,-0.569,0.218,0.43,1.556,iteration,True
1,0,20,-0.514,0.312,0.217,1.056,iteration,True
1,0,21,-0.587,-0.049,-0.262,1.967,iteration,True
1,0,22,-0.557,-0.147,-0.562,0.971,iteration,True
1,0,23,-0.569,0.334,0.465,2.0,iteration,True
1,0,24,-0.505,0.303,-0.36,0.719,iteration,True
1,0,25,-0.516,0.166,-0.291,0.836,iteration,True
1,0,26,-0.559,0.04,-0.72,1.141,iteration,True
1,0,27,-0.548,-0.188,-0.278,1.173,iteration,True
1,0,28,-0.289,-0.418,0.417,0.884,iteration,True
1,0,29,-0.682,0.045,-0.354,1.696,iteration,True
1,0,30,-0.524,-0.267,-0.604,1.655,iteration,True
1,0,31,-0.456,-0.667,0.324,0.872,iteration,True
1,0,32,-0.46,-0.566,0.054,0.74,iteration,True
1,0,33,-0.589,-0.006,0.182,1.098,iteration,True
1,0,34,-0.507,-0.313,0.573,0.188,iteration,True
1,0,35,-0.569,-0.582,-0.079,1.207,iteration,True
1,0,36,-0.526,-0.237,0.487,0.928,iteration,True
1,0,37,-0.474,0.25,-0.043,0.663,iteration,True
1,0,38,-0.535,0.33,-0.169,1.53,iteration,True
1,0,39,-0.489,-0.052,0.184,0.827,iteration,True
1,0,40,-0.575,-0.023,0.25,1.585,iteration,True
1,0,41,-0.465,-0.029,0.372,0.224,iteration,True
2,0,1,0.111,0.299,-0.32,-0.24,iteration,True
2,0,2,0.146,0.35,-0.496,-0.042,iteration,True
2,0,3,0.103,0.297,-0.276,0.002,iteration,True
2,0,4,0.12,0.212,-0.088,-0.297,iteration,True
2,0,5,0.128,0.38,-0.312,-0.235,iteration,True
2,0,6,0.098,0.315,-0.279,0.038,iteration,True
2,0,7,0.069,0.149,-0.172,0.045,iteration,True
2,0,8,0.094,0.359,0.04,-0.611,iteration,True
2,0,9,0.08,-0.087,-0.492,-0.055,iteration,True
2,0,10,0.07,0.031,-0.484,0.208,iteration,True
2,0,11,0.063,0.029,-0.577,0.113,iteration,True
2,0,12,0.117,0.288,-0.309,-0.155,iteration,True
2,0,13,0.067,0.257,-0.254,-0.049,iteration,True
2,0,14,0.14,0.231,0.09,-0.245,iteration,True
2,0,15,0.105,0.268,-0.223,-0.031,iteration,True
2,0,16,0.085,-0.022,-0.49,0.114,iteration,True
2,0,17,0.09,0.027,-0.484,-0.098,iteration,True
2,0,18,0.105,0.08,-0.372,-0.167,iteration,True
2,0,19,0.073,0.189,-0.32,0.071,iteration,True
2,0,20,0.074,-0.094,-0.568,0.011,iteration,True
2,0,21,0.088,0.108,-0.24,-0.004,iteration,True
2,0,22,0.125,0.264,-0.23,-0.259,iteration,True
2,0,23,0.114,0.186,-0.086,-0.508,iteration,True
2,0,24,0.168,0.447,-0.075,-0.039,iteration,True
2,0,25,0.05,0.099,-0.46,0.385,iteration,True
2,0,26,0.119,0.264,-0.275,-0.096,iteration,True
2,0,27,0.134,0.368,-0.261,-0.138,iteration,True
2,0,28,0.069,0.231,0.072,0.245,iteration,True
2,0,29,0.162,0.25,-0.623,-0.128,iteration,True
2,0,30,0.108,0.258,0.09,-0.138,iteration,True
2,0,31,0.079,0.419,-0.132,0.113,iteration,True
2,0,32,0.08,0.384,-0.095,0.048,iteration,True
2,0,33,0.095,0.304,-0.21,-0.195,iteration,True
2,0,34,0.08,0.3,-0.231,-0.186,iteration,True
2,0,35,0.108,0.33,-0.043,-0.184,iteration,True
2,0,36,0.08,0.433,-0.129,0.118,iteration,True
2,0,37,0.088,-0.004,-0.472,0.047,iteration,True
2,0,38,0.089,0.021,-0.046,0.5,iteration,True
2,0,39,0.047,0.141,-0.445,0.462,iteration,True
2,0,40,0.14,0.456,-0.041,-0.938,iteration,True
2,0,41,0.067,0.132,-0.331,0.125,iteration,True
3,0,1,0.014,0.027,-0.075,-0.16,iteration,True
3,0,2,0.0,0.021,-0.062,-0.034,iteration,True
3,0,3,0.002,0.02,-0.031,-0.017,iteration,True
3,0,4,-0.002,0.005,-0.004,-0.022,iteration,True
3,0,5,0.013,0.017,-0.042,-0.169,iteration,True
3,0,6,-0.001,0.019,-0.035,0.003,iteration,True
3,0,7,0.006,0.034,-0.075,0.081,iteration,True
3,0,8,-0.0,0.021,-0.03,-0.042,iteration,True
3,0,9,0.004,-0.013,-0.06,-0.051,iteration,True
3,0,10,-0.005,0.003,-0.061,0.055,iteration,True
3,0,11,-0.004,0.004,-0.078,0.035,iteration,True
3,0,12,0.006,-0.007,-0.046,-0.053,iteration,True
3,0,13,-0.001,0.013,-0.023,0.002,iteration,True
3,0,14,-0.002,0.009,0.015,-0.02,iteration,True
3,0,15,0.002,0.018,-0.03,-0.029,iteration,True
3,0,16,-0.002,-0.004,-0.055,0.027,iteration,True
3,0,17,0.001,0.011,-0.061,-0.001,iteration,True
3,0,18,0.005,0.002,-0.047,-0.075,iteration,True
3,0,19,0.006,-0.027,-0.086,0.014,iteration,True
3,0,20,-0.001,-0.007,-0.058,-0.025,iteration,True
3,0,21,0.0,-0.001,-0.011,-0.003,iteration,True
3,0,22,0.009,0.028,-0.05,-0.097,iteration,True
3,0,23,-0.003,0.004,-0.003,-0.037,iteration,True
3,0,24,0.009,0.025,-0.013,-0.109,iteration,True
3,0,25,-0.007,0.014,-0.043,0.129,iteration,True
3,0,26,0.002,0.011,-0.031,-0.052,iteration,True
3,0,27,0.003,0.023,-0.037,-0.047,iteration,True
3,0,28,-0.003,0.019,0.007,0.071,iteration,True
3,0,29,-0.005,0.013,-0.085,-0.053,iteration,True
3,0,30,-0.0,0.015,0.002,-0.043,iteration,True
3,0,31,-0.005,0.035,-0.017,0.043,iteration,True
3,0,32,-0.003,0.03,-0.012,0.02,iteration,True
3,0,33,0.002,-0.026,-0.003,-0.073,iteration,True
3,0,34,-0.002,0.015,-0.016,-0.013,iteration,True
3,0,35,-0.001,0.021,0.002,-0.054,iteration,True
3,0,36,-0.005,0.037,-0.016,0.046,iteration,True
3,0,37,0.003,-0.004,-0.056,-0.049,iteration,True
3,0,38,0.004,-0.043,0.07,0.098,iteration,True
3,0,39,0.009,-0.012,-0.067,-0.083,iteration,True
3,0,40,-0.027,-0.046,0.029,0.269,iteration,True
3,0,41,-0.01,-0.014,-0.017,0.269,iteration,True
4,0,1,0.027,0.122,-0.208,-0.01,iteration,True
4,0,2,0.018,0.073,-0.204,-0.015,iteration,True
4,0,3,0.023,0.14,-0.193,0.033,iteration,True
4,0,4,0.007,0.17,-0.154,-0.041,iteration,True
4,0,5,0.026,0.061,-0.193,0.001,iteration,True
4,0,6,0.02,0.126,-0.206,0.055,iteration,True
4,0,7,0.008,0.162,-0.168,-0.015,iteration,True
4,0,8,0.004,0.156,-0.113,-0.034,iteration,True
4,0,9,0.024,0.061,-0.191,0.034,iteration,True
4,0,10,0.019,0.12,-0.2,0.083,iteration,True
4,0,11,0.017,0.119,-0.235,0.045,iteration,True
4,0,12,0.026,0.153,-0.199,-0.0,iteration,True
4,0,13,0.002,0.188,-0.123,-0.05,iteration,True
4,0,14,0.008,0.166,-0.14,-0.045,iteration,True
4,0,15,0.023,0.121,-0.199,0.029,iteration,True
4,0,16,0.02,0.098,-0.187,0.056,iteration,True
4,0,17,0.022,0.086,-0.196,0.036,iteration,True
4,0,18,0.026,0.091,-0.186,0.083,iteration,True
4,0,19,0.006,0.156,-0.15,-0.052,iteration,True
4,0,20,0.015,0.086,-0.197,0.039,iteration,True
4,0,21,0.009,0.171,-0.143,0.0,iteration,True
4,0,22,0.025,0.118,-0.205,0.024,iteration,True
4,0,23,0.005,0.163,-0.136,-0.055,iteration,True
4,0,24,0.022,-0.006,-0.189,0.059,iteration,True
4,0,25,0.017,0.102,-0.188,0.129,iteration,True
4,0,26,0.023,0.098,-0.19,0.037,iteration,True
4,0,27,0.023,0.119,-0.205,0.018,iteration,True
4,0,28,0.015,0.203,-0.158,-0.136,iteration,True
4,0,29,0.016,0.087,-0.182,0.024,iteration,True
4,0,30,0.018,0.193,-0.183,-0.123,iteration,True
4,0,31,0.017,0.196,-0.167,-0.123,iteration,True
4,0,32,0.017,0.194,-0.158,-0.128,iteration,True
4,0,33,0.008,0.154,-0.15,-0.054,iteration,True
4,0,34,0.004,0.182,-0.107,-0.092,iteration,True
4,0,35,0.018,0.189,-0.178,-0.136,iteration,True
4,0,36,0.018,0.19,-0.178,-0.098,iteration,True
4,0,37,0.022,0.085,-0.2,0.064,iteration,True
4,0,38,0.008,0.044,-0.185,0.059,iteration,True
4,0,39,0.026,0.13,-0.218,0.026,iteration,True
4,0,40,0.005,0.159,-0.133,-0.045,iteration,True
